population,men,women,white,black,hispanic,asian,native,average_income,poverty,employed,unemployed,winning_party
13885.0,62.25,37.75,64.6,31.1,3.6,0.0,0.4,38873.0,17.9,24.19,8.1,2
12494.0,49.28,50.72,73.2,20.5,3.3,0.0,1.3,36963.0,18.8,37.0,10.3,2
21802.0,49.37,50.63,90.8,2.1,2.9,1.3,1.1,37982.0,20.2,38.25,8.1,2
71568.0,49.21,50.79,86.5,6.0,4.3,0.7,0.5,57290.0,12.3,45.52,4.8,2
15907.0,50.32,49.68,90.2,0.1,5.4,0.4,1.0,42894.0,17.8,41.22,4.5,2
16374.0,49.16,50.84,94.7,0.2,2.2,0.4,1.0,36113.0,19.5,32.69,7.7,2
43760.0,49.32,50.68,69.4,24.4,3.1,0.5,0.7,41862.0,21.0,42.05,8.0,2
43534.0,48.31,51.69,58.7,35.1,4.0,0.5,0.0,36417.0,25.6,39.67,11.6,2
7420.0,46.29,53.71,54.4,40.8,2.5,0.5,0.0,31584.0,28.6,39.81,9.1,2
9059.0,49.53,50.47,90.9,0.3,4.1,1.0,1.8,35252.0,18.1,35.85,4.4,2
251823.0,49.49,50.51,74.2,1.6,16.3,3.7,1.4,61271.0,10.5,47.58,3.1,2
8528.0,52.11,47.89,63.4,33.4,0.4,1.4,0.1,36995.0,23.0,38.63,4.8,2
7898.0,50.38,49.62,94.3,0.0,1.4,0.5,1.5,38134.0,17.8,39.43,4.0,2
24378.0,47.37,52.63,55.5,40.7,2.1,0.1,0.2,32136.0,26.0,38.11,8.3,2
10320.0,49.57,50.43,92.2,2.1,2.8,0.1,0.5,46168.0,17.8,38.21,6.5,2
19518.0,47.19,52.81,34.6,62.8,1.7,0.1,0.0,26652.0,33.0,34.42,15.7,2
19518.0,47.19,52.81,34.6,62.8,1.7,0.1,0.0,26652.0,33.0,34.42,15.7,1
10893.0,49.71,50.29,87.6,2.8,6.5,0.7,0.4,36893.0,17.3,41.0,5.1,2
24098.0,49.0,51.0,87.4,5.6,2.8,0.1,0.2,37487.0,21.4,39.39,5.4,2
20212.0,48.83,51.17,88.0,0.5,6.4,0.5,1.1,33870.0,26.6,35.73,8.5,2
63372.0,49.51,50.49,84.7,2.9,8.5,1.0,0.4,40668.0,19.8,42.65,7.3,2
8309.0,49.73,50.27,85.0,13.4,0.6,0.0,0.4,41244.0,16.8,41.57,7.6,2
37212.0,48.9,51.1,94.2,0.4,2.3,0.5,1.1,40727.0,15.8,42.39,6.1,2
392848.0,47.93,52.07,53.2,35.9,6.0,2.1,0.2,48850.0,17.3,46.46,5.9,2
392848.0,47.93,52.07,53.2,35.9,6.0,2.1,0.2,48850.0,17.3,46.46,5.9,1
17514.0,49.47,50.53,95.1,0.9,1.9,0.0,0.6,35930.0,20.9,37.39,3.5,2
26688.0,54.95,45.05,40.4,55.3,2.6,0.5,0.3,33102.0,27.5,32.51,10.0,2
26688.0,54.95,45.05,40.4,55.3,2.6,0.5,0.3,33102.0,27.5,32.51,10.0,1
116252.0,49.27,50.73,85.9,6.4,4.5,1.1,0.3,58985.0,8.0,47.95,4.3,2
10584.0,49.98,50.02,84.5,0.2,7.5,3.5,1.3,37396.0,20.5,38.44,10.6,2
7925.0,50.85,49.15,93.5,0.2,2.2,1.3,1.0,36716.0,17.4,38.89,3.6,2
127362.0,48.82,51.18,70.4,6.7,13.7,4.3,1.1,40932.0,22.5,43.48,5.6,2
17206.0,50.05,49.95,58.3,4.8,32.9,0.4,1.6,43675.0,21.2,41.99,6.6,2
17041.0,48.92,51.08,93.9,0.4,2.1,0.4,0.5,31792.0,23.3,34.43,6.7,2
12443.0,50.16,49.84,94.9,0.1,1.8,0.1,0.6,33091.0,24.2,34.92,8.3,2
10994.0,47.86,52.14,55.9,29.1,14.8,0.0,0.0,36310.0,26.4,37.4,9.4,2
40022.0,48.6,51.4,61.1,32.7,3.8,0.5,0.8,41106.0,20.1,38.84,8.3,2
16751.0,49.88,50.12,93.7,0.4,2.9,0.1,0.6,34428.0,19.6,33.71,8.3,2
223683.0,50.0,50.0,71.9,3.4,16.5,2.4,0.8,47452.0,18.0,47.79,4.9,2
78706.0,49.11,50.89,88.4,4.0,4.2,0.7,0.2,44074.0,16.6,41.08,6.2,2
6763.0,47.21,52.79,69.2,27.5,0.5,1.5,0.0,30097.0,26.0,38.49,10.1,2
21601.0,49.64,50.36,75.6,2.0,19.7,1.4,0.8,39696.0,17.8,40.98,6.3,2
5194.0,51.85,48.15,72.6,21.9,3.9,0.2,0.1,37225.0,19.6,42.65,5.7,2
27782.0,49.07,50.93,80.6,0.5,14.8,1.0,0.6,39686.0,15.7,41.03,5.1,2
11008.0,49.06,50.94,39.1,54.1,5.2,0.5,0.4,32412.0,29.4,33.24,10.1,2
11008.0,49.06,50.94,39.1,54.1,5.2,0.5,0.4,32412.0,29.4,33.24,10.1,1
971616.0,49.88,50.12,30.2,4.7,52.4,9.9,0.4,48730.0,25.4,40.35,10.4,2
971616.0,49.88,50.12,30.2,4.7,52.4,9.9,0.4,48730.0,25.4,40.35,10.4,1
27935.0,50.88,49.12,52.5,0.8,40.8,2.6,1.7,46260.0,19.6,38.57,9.2,2
135490.0,49.83,50.17,74.9,1.0,11.1,2.9,4.6,43718.0,20.8,43.98,8.9,2
135490.0,49.83,50.17,74.9,1.0,11.1,2.9,4.6,43718.0,20.8,43.98,8.9,1
179957.0,51.1,48.9,11.3,2.3,83.4,1.3,0.6,44779.0,23.8,33.21,16.0,2
